index_name;items;timeStamp
matrix;if they knew what i know ...   ... you would probably be dead. what are you talking about? what is happening to me? you are the one, neo. you see you may have spent the last few years ...   ... looking for me, but i've spent my entire life ...   ... looking for you. now, do you still want to meet? - yes. - then go to the adams street bridge. get in.;00:22:09,494 -->   00:22:47,323
matrix;what the hell is this? it's necessary, neo. for our protection. - from what? - from you. - take off your shirt. - what? stop the car. listen to me, coppertop. we don't have time for 20 questions.;00:22:59,378 -->   00:23:17,978
matrix;right now, there's only one rule: our way ...   ... or the highway. fine. please, neo, you have to trust me. - why? - because you have been down there neo. you know that road. you know exactly where it ends. and i know that's not where you want to be. apoc, lights. lie back. lift up your shirt. - what's that? - i think you're bugged. try and relax. come on. it's on the move. come on, you shit. - you're gonna lose it. - no, i'm not.;00:23:18,480 -->   00:24:41,312
matrix;clear! jesus christ! that thing's real!? this is it. let me give you one piece of advice. be honest. he knows more than you can imagine. at last. welcome, neo.;00:24:41,480 -->   00:25:53,259
matrix;as you no doubt have guessed ...   ... i am morpheus. it's an honor to meet you.;00:25:54,469 -->   00:26:00,516
matrix;no ...   ... the honor is mine. please, come. sit.;00:26:00,976 -->   00:26:07,314
matrix;i imagine ...   ... that right now you're feeling a bit like alice ...   ... tumbling down the rabbit hole? you could say that. i can see it in your eyes.;00:26:22,414 -->   00:26:36,802
matrix;you have the look of a man who accepts what he sees ...   ... because he's expecting to wake up. ironically, this is not far from the truth.;00:26:37,387 -->   00:26:47,187
matrix;do you believe in fate, neo? no. why not? i don't like the idea that i'm not in control of my life. i know exactly what you mean. let me tell you why you're here. you are here because you know something. what you know, you can't explain. but you feel it.;00:26:47,897 -->   00:27:13,964
matrix;you felt it your entire life: that there is something wrong with the world. you don't know what it is, but it's there.;00:27:14,549 -->   00:27:21,221
matrix;like a splinter in your mind ...   ... driving you mad. it is this feeling that has brought you to me.;00:27:21,723 -->   00:27:29,730
matrix;do you know what i'm talking about? the matrix? do you want to know ...   ... what it is? the matrix is everywhere. it is all around us. even now, in this very room.;00:27:32,275 -->   00:27:52,336
matrix;you can see it when you look out your window ...   ... or when you turn on your television. you can feel it when you go to work ...   ... when you go to church ...   ... when you pay your taxes. it is the world that has been pulled over your eyes ...   ... to blind you from the truth. what truth? that you are a slave.;00:27:53,171 -->   00:28:21,782
matrix;like everyone else, you were born into bondage ...   ... born into a prison that you cannot smell or taste or touch. a prison ...   ... for your mind. unfortunately, no one can be ...   ... told what the matrix is. you have to see it for yourself. this is your last chance. after this, there is no turning back.;00:28:23,284 -->   00:29:05,242
matrix;you take the blue pill ...   ... the story ends, you wake up in your bed and believe ...   ... whatever you want to believe. you take the red pill ...   ... you stay in wonderland ...   ... and i show you how deep the rabbit hole goes. remember ...   ... all i'm offering is the truth. nothing more. follow me.;00:29:05,702 -->   00:29:50,204
matrix;apoc, are we on-line? almost. time is always against us. please take a seat there. - you did all this? - mm-hm. the pill you took is part of a trace program. is designed to disrupt your carrier signals so we can pinpoint your location.;00:29:52,749 -->   00:30:34,706
matrix;what does that mean? it means buckle your seat belt, dorothy ...   ... because kansas ...   ... is going bye-bye. did you ... ? have you ever had a dream, neo, that you were so sure was real? what if you were unable to wake from that dream? how would you know the difference between the dream world ...   ... and the real world? this can't be.;00:30:35,250 -->   00:31:48,030
matrix;be what? be real? - going into replication. - apoc? still nothing. it's cold.;00:31:48,197 -->   00:31:59,833
matrix;it's cold! tank, we're gonna need a signal soon. - i got a fibrillation. - apoc, location. targeting almost there. he's going into arrest. - lock. i got him! - now, tank, now!;00:32:00,084 -->   00:32:20,354
matrix;welcome ...   ... to the real world. we've done it, trinity. we found him. - i hope you're right. - i don't have to hope. i know it.;00:35:17,615 -->   00:35:31,211
matrix;am i dead? far from it. he still needs a lot of work.;00:35:36,384 -->   00:35:55,485
matrix;what are you doing? your muscles have atrophied. we're rebuilding them. why do my eyes hurt? you've never used them before. rest, neo. the answers are coming.;00:35:57,029 -->   00:36:12,002
matrix;"morpheus, what's happened to me? what is this place? more important than ""what"" is ""when.""";00:37:26,577 -->   00:37:32,791
matrix;"""when""? you believe it's the year 1999 ...   ... when in fact, it's closer to 2199. i can't tell you exactly what year it is ...   ... because we honestly don't know. there's nothing i can say that will explain it for you. come with me. see for yourself. this is my ship. the nebuchadnezzar. it's a hovercraft. this is the main deck.";00:37:33,292 -->   00:38:01,278
matrix;this is the core ...   ... where we broadcast our pirate signal and hack into the matrix. most of my crew you already know.;00:38:07,034 -->   00:38:21,089
matrix;this is apoc ...   ... switch ...   ... and cypher. - hi. the ones you don't know: tank and his big brother, dozer. the little one behind you is mouse.;00:38:26,095 -->   00:38:39,649
matrix;you wanted to know what the matrix is? trinity. try to relax. this will feel a little weird.;00:38:43,988 -->   00:39:18,813
matrix;this ...   ... is the construct. it's our loading program.;00:39:30,785 -->   00:39:36,581
matrix;"we can load anything, from clothing ...   ... to equipment ...   ... weapons ...   ... training simulations ...   ... anything we need. right now we're inside a computer program? is it really so hard to believe? your clothes are different. the plugs in your arms and head are gone. your hair has changed. your appearance now is what we call ""residual self-image."" it is the mental projection of your digital self.";00:39:36,832 -->   00:40:08,822
matrix;"this isn't real? what is ""real""? how do you define ""real""? if you're talking about what you can feel ...   ... what you can smell, taste and see ...   ... then ""real"" is simply electrical signals interpreted by your brain. this is the world that you know. the world as it was at the end of the 20th century.";00:40:14,703 -->   00:40:40,311
matrix;it exists now only as part of a neural-interactive simulation ...   ... that we call the matrix. you've been living in a dream world, neo.;00:40:42,690 -->   00:40:55,869
